code|description_serbian|description_latin
Z03.0|Posmatranje zbog sumnje na tuberkulozu|Posmatranje zbog sumnje na tuberkulozu
Z03.1|Posmatranje zbog sumnje na malignu neoplazmu|Posmatranje zbog sumnje na malignu neoplazmu
Z03.2|Posmatranje zbog sumnje na mentalni poremećaj ili poremećaj ponašanja|Posmatranje zbog sumnje na mentalni poremećaj ili poremećaj ponašanja
Z03.3|Posmatranje zbog sumnje na oboljenje nervnog sistema|Posmatranje zbog sumnje na oboljenje nervnog sistema
Z03.4|Posmatranja zbog sumnje na infarkt srca|Posmatranja zbog sumnje na infarkt srca
Z03.5|Posmatranje zbog sumnje na druge srčano-sudovne bolesti|Posmatranje zbog sumnje na druge srčano-sudovne bolesti
Z03.6|Posmatranje zbog sumnje na toksične efekte unetih supstanci|Posmatranje zbog sumnje na toksične efekte unetih supstanci
Z03.8|Posmatranje zbog sumnje na druge bolesti ili stanja|Posmatranje zbog sumnje na druge bolesti ili stanja
Z03.9|Posmatranja zbog sumnje na bolest ili stanje,neoznačeno|Posmatranja zbog sumnje na bolest ili stanje,neoznačeno
Z04|Pregledi i posmatranje zbog drugih razloga|Pregledi i posmatranje zbog drugih razloga
Z04.0|Test na alkohol ili drogu u krvi|Test na alkohol ili drogu u krvi
Z04.1|Pregled i posmatranje posle saobraćajnog udesa|Pregled i posmatranje posle saobraćajnog udesa
Z04.2|Pregled i posmatranje posle udesa na radu|Pregled i posmatranje posle udesa na radu
Z04.3|Pregled i posmatranje posle drugih udesa|Pregled i posmatranje posle drugih udesa
Z04.4|Pregled i posmatranje posle navodnog silovanja ili zavođenja|Pregled i posmatranje posle navodnog silovanja ili zavođenja
Z04.5|Pregled i posmatranje posle drugih nanetih povreda|Pregled i posmatranje posle drugih nanetih povreda
Z04.6|Opšti psihijatrijski pregled, na zahtev vlasti|Opšti psihijatrijski pregled, na zahtev vlasti
Z04.8|Pregled i posmatranje zbog drugih označenih razloga|Pregled i posmatranje zbog drugih označenih razloga
Z04.9|Pregled i posmatranje zbog neoznačenih razloga|Pregled i posmatranje zbog neoznačenih razloga
Z08|Kontrolni pregled posle lečenja zloćudnog tumora|Kontrolni pregled posle lečenja zloćudnog tumora
Z08.0|Kontrolni pregled posle operacije zbog zloćudnog tumora|Kontrolni pregled posle operacije zbog zloćudnog tumora
Z08.1|Kontrolni pregled posle radioterapije zbog zloćudnog tumora|Kontrolni pregled posle radioterapije zbog zloćudnog tumora
Z08.2|Kontrolni pregled posle hemioterapije zbog zloćudnog tumora|Kontrolni pregled posle hemioterapije zbog zloćudnog tumora
Z08.7|Kontrolni pregled posle kombinovanog lečenja zloćudnog tumora|Kontrolni pregled posle kombinovanog lečenja zloćudnog tumora
Z08.8|Kontrolni pregled posle drugog lečenja zloćudnog tumora|Kontrolni pregled posle drugog lečenja zloćudnog tumora
Z08.9|Kontrolni pregled posle neoznačenog lečenja zloćudnog tumora|Kontrolni pregled posle neoznačenog lečenja zloćudnog tumora
Z09|Kontrolni pregled posle lečenja stanja koja nisu zloćudni tumori|Kontrolni pregled posle lečenja stanja koja nisu zloćudni tumori
Z09.0|Kontrolni pregled posle operacije zbog drugih stanja|Kontrolni pregled posle operacije zbog drugih stanja
Z09.1|Kontrolni pregled posle radioterapije zbog drugih stanja|Kontrolni pregled posle radioterapije zbog drugih stanja
Z09.2|Kontrolni pregled posle hemioterapije zbog drugih stanja|Kontrolni pregled posle hemioterapije zbog drugih stanja
Z09.3|Kontrolni pregled posle psihoterapije|Kontrolni pregled posle psihoterapije
Z09.4|Kontrolni pregled posle lečenja preloma|Kontrolni pregled posle lečenja preloma
Z09.7|Kontrolni pregled posle kombinovanog lečenja zbog drugih stanja|Kontrolni pregled posle kombinovanog lečenja zbog drugih stanja
Z09.8|Kontrolni pregled posle lečenja drugih stanja|Kontrolni pregled posle lečenja drugih stanja
Z09.9|Kontrolni pregled posle neoznačenog lečenja drugih stanja|Kontrolni pregled posle neoznačenog lečenja drugih stanja
Z10|Rutinski opšti zdravstveni pregled definisane subpopulacije|Rutinski opšti zdravstveni pregled definisane subpopulacije
Z10.0|Zdravstveni pregled zaposlenih (radnika)|Zdravstveni pregled zaposlenih (radnika)
Z10.1|Rutinski opšti zdravstveni pregled osoba koje žive u zatvorenim institucijama|Rutinski opšti zdravstveni pregled osoba koje žive u zatvorenim institucijama
Z10.2|Rutinski opšti zdravstveni pregled pripadnika oružanih snaga|Rutinski opšti zdravstveni pregled pripadnika oružanih snaga
Z10.3|Rutinski opšti zdravstveni pregled sportskih timova|Rutinski opšti zdravstveni pregled sportskih timova
Z10.8|Rutinski opšti zdravstveni pregled drugih definisanih subpopulacija|Rutinski opšti zdravstveni pregled drugih definisanih subpopulacija
Z11|Specijalan skrining (screening) pregled radi otkrivanja infektivnih i parazitarnih bolesti|Specijalan skrining (screening) pregled radi otkrivanja infektivnih i parazitarnih bolesti
Z11.0|Specijalan skrining pregled radi otkrivanja crevnih zaraznih bolesti|Specijalan skrining pregled radi otkrivanja crevnih zaraznih bolesti
Z11.1|Specijalan skrining pregled radi otkrivanja plućne tuberkuloze|Specijalan skrining pregled radi otkrivanja plućne tuberkuloze
Z11.2|Specijalan skrining pregled radi otkrivanja drugih bakterijskih bolesti|Specijalan skrining pregled radi otkrivanja drugih bakterijskih bolesti
Z11.3|Specijalan skrining pregled radi otkrivanja infektivnih bolesti sa pretežno polnim načinom prenošenj|Specijalan skrining pregled radi otkrivanja infektivnih bolesti sa pretežno polnim načinom prenošenj
Z11.4|Specijalan skrining pregled radi otkrivanja virusa humane imunodeficijencije (HIV)|Specijalan skrining pregled radi otkrivanja virusa humane imunodeficijencije (HIV)
Z11.5|Specijalan skrining pregled radi otkrivanja drugih virusnih bolesti|Specijalan skrining pregled radi otkrivanja drugih virusnih bolesti
Z11.6|Specijalan skrining pregled radi otkrivanja drugih protozoalnih bolesti i helmintijaza|Specijalan skrining pregled radi otkrivanja drugih protozoalnih bolesti i helmintijaza
Z11.8|Specijalan skrining pregled radi otkrivanja drugih zaraznih bolesti i parazitarnih bolesti|Specijalan skrining pregled radi otkrivanja drugih zaraznih bolesti i parazitarnih bolesti
Z11.9|Specijalan skrining pregled radi otkrivanja zaraznih bolesti i parazitarnih bolesti,neoznačen|Specijalan skrining pregled radi otkrivanja zaraznih bolesti i parazitarnih bolesti,neoznačen
Z12|Specijalan skrining (screening) pregled radi otkrivanja neoplazmi|Specijalan skrining (screening) pregled radi otkrivanja neoplazmi
Z12.0|Specijalan skrining pregled radi otkrivanja tumora želudca|Specijalan skrining pregled radi otkrivanja tumora žželudca
Z12.1|Specijalan skrining pregled radi otkrivanja tumora crevnog trakta|Specijalan skrining pregled radi otkrivanja tumora crevnog trakta
Z12.2|Specijalan skrining pregled radi otkrivanja tumora disajnih organa|Specijalan skrining pregled radi otkrivanja tumora disajnih organa
Z12.3|Specijalan skrining pregled radi otkrivanja tumora dojke|Specijalan skrining pregled radi otkrivanja tumora dojke
Z12.4|Specijalan skrining pregled radi otkrivanja tumora grlića materice|Specijalan skrining pregled radi otkrivanja tumora grlića materice
Z12.5|Specijalan skrining pregled radi otkrivanja tumora kestenjače|Specijalan skrining pregled radi otkrivanja tumora kestenjače
Z12.6|Specijalan skrining pregled radi otkrivanja tumora mokraćne bešike|Specijalan skrining pregled radi otkrivanja tumora mokraćne bešike
Z12.8|Specijalan skrining pregled radi otkrivanja tumora drugih lokalizacija|Specijalan skrining pregled radi otkrivanja tumora drugih lokalizacija
Z12.9|Specijalan skrining pregled radi otkrivanja tumora,neoznačen|Specijalan skrining pregled radi otkrivanja tumora,neoznačen
Z13|Specijalan skrining pregled radi otkrivanja drugih bolesti i poremećaja|Specijalan skrining pregled radi otkrivanja drugih bolesti i poremećaja
Z20|Kontakt i izloženost zaraznim bolestima|Kontakt i zloženost zaraznim bolestima
Z20.0|Kontakt i izloženost crevnim zaraznim bolestima|Kontakt i izloženost crevnim zaraznim bolestima
Z20.1|Kontakt i izloženost tuberkulozi|Kontakt i izloženost tuberkulozi
Z20.2|Kontakt i izloženost infekcijama sa pretežno polnim načinom prenošenja|Kontakt i izloženost infekcijama sa pretežno polnim načinom prenošenja
Z20.3|Kontakt i izloženost besnilu|Kontakt i izloženost besnilu
Z20.4|Kontakt i izloženost crvenki (rubeola)|Kontakt i izloženost crvenki (rubeola)
Z20.5|Kontakt i izloženost virusnom hepatitisu|Kontakt i izloženost virusnom hepatitisu
Z20.6|Kontakt i izloženost virusu humane imunodeficijencije (HIV)|Kontakt i izloženost virusu humane imunodeficijencije (HIV)
Z20.7|Kontakt i izloženost vašljivosti,infestaciji grinjama i drugim infestacijama|Kontakt i izloženost vašljivosti,infestaciji grinjama i drugim infestacijama
Z20.8|Kontakt i izloženost drugim zaraznim bolestima|Kontakt i izloženost drugim zaraznim bolestima
Z20.9|Kontakt i izloženost neoznačenim zaraznim bolestima|Kontakt i izloženost neoznačenim zaraznim bolestima
Z21|Asimptomatska infekcija virusom humane imunodeficijencije (HIV)|Asimptomatska infekcija virusom humane imunodeficijencije (HIV)
Z22|Kliconoša zaraznih bolesti|Kliconoša zaraznih bolesti
Z22.0|Kliconoša trbušnog tifusa|Kliconoša trbušnog tifusa
Z22.1|Kliconoša drugih crevnih zaraznih bolesti|Kliconoša drugih crevnih zaraznih bolesti
Z22.2|Kliconoša difterije|Kliconoša difterije
Z22.3|Kliconoša drugih označenih bakterijskih bolesti|Kliconoša drugih označenih bakterijskih bolesti
Z22.4|Kliconoša uzročnika koji se pretežno prenose polnim putem|Kliconoša uzročnika koji se pretežno prenose polnim putem
Z22.5|Kliconoša hepatitisa uzrokovanih virusom|Kliconoša hepatitisa uzrokovanih virusom
Z22.6|Kliconoša humanog T-limfotropnog virusa tip 1 (HTLV-1)|Kliconoša humanog T-limfotropnog virusa tip 1 (HTLV-1)
Z22.8|Kliconoša drugih zaraznih bolesti|Kliconoša drugih zaraznih bolesti
Z22.9|Kliconoša zarazne bolesti,neoznačene|Kliconoša zarazne bolesti,neoznačene
Z23|Potreba za imunizacijom protiv bakterijskih bolesti (pojedinačno)|Potreba za imunizacijom protiv bakterijskih bolesti (pojedinačno)
Z23.0|Potreba za imunizacijom protiv kolere|Potreba za imunizacijom protiv kolere
Z23.1|Potreba za imunizacijom protiv tifusa-paratifusa (TAB)|Potreba za imunizacijom protiv tifusa-paratifusa (TAB)
Z23.2|Potreba za imunizacijom protiv tuberkuloze (BCG)|Potreba za imunizacijom protiv tuberkuloze (BCG)
Z23.3|Potreba za imunizacijom protiv kuge|Potreba za imunizacijom protiv kuge
Z23.4|Potreba za imunizacijom protiv tularemije|Potreba za imunizacijom protiv tularemije
Z23.5|Potreba za imunizacijom samo protiv tetanusa|Potreba za imunizacijom samo protiv tetanusa
Z23.6|Potreba za imunizacijom samo protiv difterije|Potreba za imunizacijom samo protiv difterije
Z23.7|Potreba za imunizacijom samo protiv pertusisa|Potreba za imunizacijom samo protiv pertusisa
Z23.8|Potreba za imunizacijom protiv druge pojedinačne bakterijske bolesti|Potreba za imunizacijom protiv druge pojedinačne bakterijske bolesti
Z24|Potreba za imunizacijom protiv samo jedne virusne bolesti|Potreba za imunizacijom protiv samo jedne virusne bolesti
Z24.0|Potreba za imunizacijom protiv poliomijelitisa|Potreba za imunizacijom protiv poliomijelitisa
Z24.1|Potreba za imunizacijom protiv virusnog encefalitisa koji se prenosi artropodima|Potreba za imunizacijom protiv virusnog encefalitisa koji se prenosi artropodima
Z24.2|Potreba za imunizacijom protiv besnila|Potreba za imunizacijom protiv besnila
Z24.3|Potreba za imunizacijom protiv žute groznice|Potreba za imunizacijom protiv žute groznice
Z24.4|Potreba za imunizacijom samo protiv morbila|Potreba za imunizacijom samo protiv morbila
Z24.5|Potreba za imunizacijom samo protiv rubele|Potreba za imunizacijom samo protiv rubele
Z24.6|Potreba za imunizacijom protiv virusnog hepatitisa|Potreba za imunizacijom protiv virusnog hepatitisa
Z25|Potreba za imunizacijom protiv drugih virusnih bolesti (pojedinačno)|Potreba za imunizacijom protiv drugih virusnih bolesti (pojedinačno)
Z25.0|Potreba za imunizacijom protiv parotitisa|Potreba za imunizacijom protiv parotitisa
Z25.1|Potreba za imunizacijom protiv influence|Potreba za imunizacijom protiv influence
Z25.8|Potreba za imunizacijom protiv druge označene pojedinačne virusne bolesti|Potreba za imunizacijom protiv druge označene pojedinačne virusne bolesti
Z26|Potreba za imunizacijom protiv drugih zaraznih bolesti (pojedinačno)|Potreba za imunizacijom protiv drugih zaraznih bolesti (pojedinačno)
Z26.0|Potreba za imunizacijom protiv kala-azara (lišmanijaze)|Potreba za imunizacijom protiv kala-azara (lišmanijaze)
Z26.8|Potreba za imunizacijom protiv druge označene pojedinačne zarazne bolesti|Potreba za imunizacijom protiv druge označene pojedinačne zarazne bolesti
Z26.9|Potreba za imunizacijom protiv neoznačene zarazne bolesti|Potreba za imunizacijom protiv neoznačene zarazne bolesti
Z27|Potreba za kombinovanom imunizacijom protiv više infektivnih bolesti|Potreba za kombinovanom imunizacijom protiv više infektivnih bolesti
Z27.0|Potreba za imunizacijom protiv kolere i tifusa-paratifusa (cholera+TAB)|Potreba za imunizacijom protiv kolere i tifusa-paratifusa (cholera+TAB)
Z27.1|Potreba za imunizacijom protiv difterije-tetanusa-pertusisa,kombinovana (DTP)|Potreba za imunizacijom protiv difterije-tetanusa-pertusisa,kombinovana (DTP)
Z27.2|Potreba za imunizacijom protiv difterije-tetanusa-pertusisa i tifusa-paratifusa (DTP+TAB)|Potreba za imunizacijom protiv difterije-tetanusa-pertusisa i tifusa-paratifusa (DTP+TAB)
Z27.3|Potreba za imunizacijom protiv difterije-tetanusa i poliomijelitisa (DTP+polio)|Potreba za imunizacijom protiv difterije-tetanusa i poliomijelitisa (DTP+polio)
Z27.4|Potreba za imunizacijom protiv morbila-parotitisa-rubele (MMR)|Potreba za imunizacijom protiv morbila-parotitisa-rubele (MMR)
Z27.8|Potreba za kombinovanom imunizacijom protiv drugih infektivnih bolesti|Potreba za kombinovanom imunizacijom protiv drugih infektivnih bolesti
Z27.9|Potreba za kombinovanom imunizacijom protiv neoznačenih infektivnih bolesti|Potreba za kombinovanom imunizacijom protiv neoznačenih infektivnih bolesti
Z28|Neizvršena imunizacija|Neizvršena imunizacija
Z28.0|Neizvršena imunizacija zbog kontraindikacije|Neizvršena imunizacija zbog kontraindikacije
Z28.1|Neizvršena imunizacija zbog odluke pacijenta donete na osnovu ličnog ubeđenja ili pritiska sredine|Neizvršena imunizacija zbog odluke pacijenta donete na osnovu ličnog ubeđenja ili pritiska sredine
Z28.2|Neizvršena imunizacija zbog odluke pacijenta donete zbog drugih i neoznačenih razloga|Neizvršena imunizacija zbog odluke pacijenta donete zbog drugih i neoznačenih razloga
Z28.8|Neizvršena imunizacija zbog drugih razloga|Neizvršena imunizacija zbog drugih razloga
Z28.9|Neizvršena imunizacija zbog neoznačenih razloga|Neizvršena imunizacija zbog neoznačenih razloga
Z29|Potreba za drugim profilaktičkim merama|Potreba za drugim profilaktičkim merama
Z30|Kontracepcija|Kontracepcija
Z30.0|Opšte konsultovanje i savet o kontracepciji|Opšte konsultovanje i savet o kontracepciji
Z30.1|Umetanje (intrauterinog) kontraceptivnog sredstva|Umetanje (intrauterinog) kontraceptivnog sredstva
Z30.2|Sterilizacija|Sterilizacija
Z30.3|Kontrola menstruacije (menstrualna ekstrakcija)|Kontrola menstruacije (menstrualna ekstrakcija)
Z30.4|Nadzor nad kontraceptivnim lekovima|Nadzor nad kontraceptivnim lekovima
Z30.5|Nadzor nad (intrauterinim) kontraceptivnim sredstvima (napravama)|Nadzor nad (intrauterinim) kontraceptivnim sredstvima (napravama)
Z30.8|Drugi kontraceptivni postupak|Drugi kontraceptivni postupak
Z30.9|Kontraceptivni postupak, neoznačen|Kontraceptivni postupak, neoznačen
Z31|Unapređenje reprodukcije|Unapređenje reprodukcije
Z31.0|Tuboplastika ili vazoplastika posle prethodne sterilizacije|Tuboplastika ili vazoplastika posle prethodne sterilizacije
Z31.1|Veštačko oplođenje (insemenacija)|Veštačko oplođenje (insemenacija)
Z31.2|In vitro oplođenje (fertilizacija)|In vitro oplođenje (fertilizacija)
Z31.3|Drugi pomoćni fertilizacioni metodi|Drugi pomoćni fertilizacioni metodi
Z31.4|Ispitivanje i testiranje plodnosti|Ispitivanje i testiranje plodnosti
Z31.5|Genetsko savetovanje|Genetsko savetovanje
Z31.6|Opšta konsultacija i savet o plodnosti|Opšta konsultacija i savet o plodnosti
Z31.8|Drugi postupak vezan za plodnost|Drugi postupak vezan za plodnost
Z31.9|Postupak vezan za plodnost, neoznačen|Postupak vezan za plodnost, neoznačen
Z32|Ispitivanje i testiranje na trudnoću|Ispitivanje i testiranje na trudnoću
Z32.0|Trudnoća, (za sad) nepotvrđena|Trudnoća, (za sad) nepotvrđena
Z32.1|Trudnoća, potvrđena|Trudnoća, potvrđena
Z33|Gravidno stanje, slučajno|Gravidno stanje, slučajno
Z34|Kontrola normalne trudnoće|Kontrola normalne trudnoće
Z34.0|Kontrola normalne prve trudnoće|Kontrola normalne prve trudnoće
Z34.8|Kontrola normalne druge trudnoće|Kontrola normalne druge trudnoće
Z34.9|Kontrola normalne trudnoće, neoznačene|Kontrola normalne trudnoće, neoznačene
Z35|Kontrola trudnoće sa visokim rizikom|Kontrola trudnoće sa visokim rizikom
Z35.0|Kontrola trudnoće koja u anamnezi ima sterilitet|Kontrola trudnoće koja u anamnezi ima sterilitet
Z35.1|Kontrola trudnoće koja u anamnezi ima abortus|Kontrola trudnoće koja u anamnezi ima abortus
Z35.2|Kontrola trudnoće sa drugom nepovoljnom reproduktivnom ili akušerskom anamnezom|Kontrola trudnoće sa drugom nepovoljnom reproduktivnom ili akušerskom anamnezom
Z35.3|Kontrola trudnoće sa anamnezom o nedovoljnoj antenatalnoj zaštiti|Kontrola trudnoće sa anamnezom o nedovoljnoj antenatalnoj zaštiti
Z35.4|Kontrola trudnoće sa visokim multiparitetom|Kontrola trudnoće sa visokim multiparitetom
Z35.5|Kontrola starije primipare|Kontrola starije primipare
Z35.6|Kontrola vrlo mlade primipare|Kontrola vrlo mlade primipare
Z35.7|Kontrola trudnoće koja je u visokom riziku zbog socijalnih problema|Kontrola trudnoće koja je u visokom riziku zbog socijalnih problema
Z35.8|Kontrola druge visokorizične trudnoće|Kontrola druge visokorizične trudnoće
Z35.9|Kontrola trudnoće koja je u visokom riziku,neoznačene|Kontrola trudnoće koja je u visokom riziku,neoznačene
Z36|Antenatalni skrining (screening)|Antenatalni skrining (screening)
Z36.0|Antenatalni skrining na hromosomske anomalije|Antenatalni skrining na hromosomske anomalije
Z36.1|Antenatalni skrining na prisustvo povećanih vrednosti alfafetoproteina|Antenatalni skrining na prisustvo povećanih vrednosti alfafetoproteina
Z36.2|Drugi antenatalni skrining na osnovu amniocenteze|Drugi antenatalni skrining na osnovu amniocenteze
Z36.3|Antenatalni skrining na prisustvo malformacija korišćenjem ultrazvuka i drugih fizičkih metoda|Antenatalni skrining na prisustvo malformacija korišćenjem ultrazvuka i drugih fizičkih metoda
Z36.4|Antenatalni skrining na prisustvo usporenog rasta fetusa korišćenjem ultrazvuka i drugih fizičkih me|Antenatalni skrining na prisustvo usporenog rasta fetusa korišćenjem ultrazvuka i drugih fizičkih me
Z36.5|Antenatalni skrining zbog izoimunizacije|Antenatalni skrining zbog izoimunizacije
Z36.8|Drugi antenatalni skrining|Drugi antenatalni skrining
Z36.9|Antenatalni skrining, neoznačen|Antenatalni skrining, neoznačen
Z37|Ishod porođaja|Ishod porođaja
Z37.0|Živorođeno jedno dete|Živorođeno jedno dete
Z37.1|Mrtvorođeno jedno dete|Mrtvorođeno jedno dete
Z37.2|Blizanci, oba živorođena|Blizanci, oba živorođena
Z37.3|Blizanci, jedan živorođen,drugi mrtvorođen|Blizanci, jedan živorođen,drugi mrtvorođen
Z37.4|Blizanci, oba mrtvorođena|Blizanci, oba mrtvorođena
Z37.5|Drugi multipli porođaj, sva deca živorođena|Drugi multipli porođaj, sva deca živorođena
Z37.6|Drugi multipli porođaj, neka deca živorođena|Drugi multipli porođaj, neka deca živorođena
Z37.7|Drugi multipli porođaj, sva deca mrtvorođena|Drugi multipli porođaj, sva deca mrtvorođena
Z37.9|Neoznačen ishod porođaja|Neoznačen ishod porođaja
Z38|Živorođena deca prema mestu rođenja|Živorođena deca prema mestu rođenja
Z38.0|Jedno dete, rođeno u bolnici|Jedno dete, rođeno u bolnici
Z38.1|Jedno dete, rođeno van bolnice|Jedno dete, rođeno van bolnice
Z38.2|Jedno dete, neoznačeno mesto rođenja|Jedno dete, neoznačeno mesto rođenja
Z38.3|Blizanci, rođeni u bolnici|Blizanci, rođeni u bolnici
Z38.4|Blizanci, rođeni van bolnice|Blizanci, rođeni van bolnice
Z38.5|Blizanci, neoznačeno mesto rođenja|Blizanci, neoznačeno mesto rođenja
Z38.6|Drugi multipli porođaj u bolnici|Drugi multipli porođaj u bolnici
Z38.7|Drugi multipli porođaj van bolnice|Drugi multipli porođaj van bolnice
Z38.8|Drugi multipli porođaj, neoznačeno mesto rođenja|Drugi multipli porođaj, neoznačeno mesto rođenja
Z39|Nega i pregled posle porođaja|Nega i pregled posle porođaja
Z40|Profilaktička operacija|Profilaktička operacija
Z40.0|Profilaktička operacija zbog faktora rizika povezanih sa zloćudnim tumorima|Profilaktička operacija zbog faktora rizika povezanih sa zloćudnim tumorima
Z40.8|Druga profilaktička operacija|Druga profilaktička operacija
Z40.9|Profilaktička operacija, neoznačena|Profilaktička operacija, neoznačena
Z41|Procedure koje se ne izvode u cilju lečenja|Procedure koje se ne izvode u cilju lečenja
Z41.0|Transplatacija kose|Transplatacija kose
Z41.1|Druga plastična operacija zbog neprihvatljivog kozmetičkog izgleda|Druga plastična operacija zbog neprihvatljivog kozmetičkog izgleda
Z41.2|Rutinsko i ritualno obrezivanje muškog polnog uda|Rutinsko i ritualno obrezivanje muškog polnog uda
Z41.3|Bušenje ušiju|Bušenje ušiju
Z41.8|Druge procedure koje se ne izvode u cilju lečenja|Druge procedure koje se ne izvode u cilju lečenja
Z41.9|Procedura koja se ne izvodi u cilju lečenja,neoznačena|Procedura koja se ne izvodi u cilju lečenja,neoznačena
Z42|Praćenje i nega koji uključuju plastičnu operaciju|Praćenje i nega koji uključuju plastičnu operaciju
Z42.0|Praćenje i nega koji uključuju plastičnu operaciju glave i vrata|Praćenje i nega koji uključuju plastičnu operaciju glave i vrata
Z42.1|Praćenje i nega koji uključuju plastičnu operaciju dojke|Praćenje i nega koji uključuju plastičnu operaciju dojke
Z42.2|Praćenje i nega koji uključuju plastičnu operaciju drugih delova trupa|Praćenje i nega koji uključuju plastičnu operaciju drugih delova trupa
Z42.3|Praćenje i nega koji uključuju plastičnu operaciju ruke|Praćenje i nega koji uključuju plastičnu operaciju ruke
Z42.4|Praćenje i nega koji uključuju plastičnu operaciju noge|Praćenje i nega koji uključuju plastičnu operaciju noge
Z42.8|Praćenje i nega koji uključuju plastičnu operaciju drugog dela tela|Praćenje i nega koji uključuju plastičnu operaciju drugog dela tela
Z42.9|Praćenje i nega koji uključuju plastičnu operaciju,neoznačeni|Praćenje i nega koji uključuju plastičnu operaciju,neoznačeni
Z43|Nadziranje veštačkih (arteficijalnih) otvora|Nadziranje veštačkih (arteficijalnih) otvora
Z43.0|Nadziranje traheostome|Nadziranje traheostome
Z43.1|Nadziranje gastrostome|Nadziranje gastrostome
Z43.2|Nadziranje ileostome|Nadziranje ileostome
Z43.3|Nadziranje kolostome|Nadziranje kolostome
Z43.4|Nadziranje drugih veštačkih otvora želudačno crevnog sistema|Nadziranje drugih veštačkih otvora želudačno crevnog sistema
Z43.5|Nadziranje cistostome|Nadziranje cistostome
Z43.6|Nadziranje drugih veštačkih otvora mokraćnog sistema|Nadziranje drugih veštačkih otvora mokraćnog sistema
Z43.7|Nadziranje veštačke rodnice|Nadziranje veštačke rodnice
Z43.8|Nadziranje drugih veštačkih otvora|Nadziranje drugih veštačkih otvora
Z43.9|Nadziranje neoznačenog veštačkog otvora|Nadziranje neoznačenog veštačkog otvora
Z44|Nameštanje i podešavanje spoljašnjih protetskih pomagala|Nameštanje i podešavanje spoljašnjih protetskih pomagala
Z44.0|Nameštanje i podešavanje veštačke ruke (kompletne) (parcijalne)|Nameštanje i podešavanje veštačke ruke (kompletne) (parcijalne)
Z44.1|Nameštanje i podešavanje veštačke noge (kompletne) (parcijalne)|Nameštanje i podešavanje veštačke noge (kompletne) (parcijalne)
Z44.2|Nameštanje i podešavanje veštačkog oka|Nameštanje i podešavanje veštačkog oka
Z44.3|Nameštanje i podešavanje spoljašnje proteze dojke|Nameštanje i podešavanje spoljašnje proteze dojke
Z44.8|Nameštanje i podešavanje drugih spoljašnjih proteza|Nameštanje i podešavanje drugih spoljašnjih proteza
Z44.9|Nameštanje i podešavanje neoznačene spoljašnje proteze|Nameštanje i podešavanje neoznačene spoljašnje proteze
Z45|Podešavanje i održavanje ugrađenog pomagala|Podešavanje i održavanje ugrađenog pomagala
Z45.0|Podešavanje i održavanje pejsmejkera srca (pacemaker)|Podešavanje i održavanje pejsmejkera srca (pacemaker)
Z45.1|Podešavanje i održavanje pumpe za infuziju|Podešavanje i održavanje pumpe za infuziju
Z45.2|Podešavanje i održavanje kanile krvnog suda|Podešavanje i održavanje kanile krvnog suda
Z45.3|Podešavanje i održavanje ugrađenog slušnog aparata|Podešavanje i održavanje ugrađenog slušnog aparata
Z45.8|Podešavanje i održavanje drugih ugrađenih pomagala|Podešavanje i održavanje drugih ugrađenih pomagala
Z45.9|Podešavanje i održavanje neoznačenih ugrađenih pomagala|Podešavanje i održavanje neoznačenih ugrađenih pomagala
Z46|Postavljanje i podešavanje drugih pomagala|Postavljanje i podešavanje drugih pomagala
Z46.0|Postavljanje i podešavanje naočara i kontaktnih sočiva|Postavljanje i podešavanje naočara i kontaktnih sočiva
Z46.1|Postavljanje i podešavanje slušnog pomagala|Postavljanje i podešavanje slušnog pomagala
Z46.2|Postavljanje i podešavanje drugih pomagala povezanih sa nervnim sistemom i određenim čulima|Postavljanje i podešavanje drugih pomagala povezanih sa nervnim sistemom i određenim čulima
Z46.3|Postavljanje i podešavanje zubne proteze|Postavljanje i podešavanje zubne proteze
Z46.4|Postavljanje i podešavanje ortodonskog pomagala|Postavljanje i podešavanje ortodonskog pomagala
Z46.5|Postavljanje i podešavanje uređaja za ileostomu i drugih intestinalnih pomagala|Postavljanje i podešavanje uređaja za ileostomu i drugih intestinalnih pomagala
Z46.6|Postavljanje i podešavanje pomagala za mokrenje|Postavljanje i podešavanje pomagala za mokrenje
Z46.7|Postavljanje i podešavanje ortopedskih pomagala|Postavljanje i podešavanje ortopedskih pomagala
Z46.8|Postavljanje i podešavanje drugih označenih pomagala|Postavljanje i podešavanje drugih označenih pomagala
Z46.9|Postavljanje i podešavanje neoznačenih pomagala|Postavljanje i podešavanje neoznačenih pomagala
Z47|Drugo praćenje i nega u ortopedskom lečenju|Drugo praćenje i nega u ortopedskom lečenju
Z47.0|Praćenje i nega koji uključuju otklanjanje pločica i drugih unutrašnjih fiksacionih naprava kod prel|Praćenje i nega koji uključuju otklanjanje pločica i drugih unutrašnjih fiksacionih naprava kod prel
Z47.8|Drugo specifično ortopedsko praćenje i nega|Drugo specifično ortopedsko praćenje i nega
Z47.9|Ortopedsko praćenje i nega,neoznačeni|Ortopedsko praćenje i nega,neoznačeni
Z48|Drugo praćenje i nega u hirurškom lečenju|Drugo praćenje i nega u hirurškom lečenju
Z48.0|Nadziranje hirurškog previjanja i šavova|Nadziranje hirurškog previjanja i šavova
Z48.8|Drugo označeno praćenje i nega u hirurškom lečenju|Drugo označeno praćenje i nega u hirurškom lečenju
